ApplStandard,Brand,Cap,CEC Cold,CEC_,Cold Prog,Cold Wat Cons,Combination,Conn_Mode,Country,delayStartMode,Depth,DetergentType,Height,Hot Wat Cons,internal_heater,Loading,MachineAction,Model No,N-Standard,New SRI,New Star,postProgenergy,powerConsMode,Prog Name,Sold_in,standbyPowerUsage,Submit_ID,SubmitStatus,Test Prog Time,Tot Wat Cons,Type,WEI,Width,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL,Star Image Large,Star Image Small
AS/NZS 2040.2:2000 (Legacy),INDESIT,5.5,230,240,,75.0,,Dual,Italy,,,,,0.0,,Front,Drum,W93,AS/NZS 2040.1:2005/Amdt 3:2010,3.5,3.5,,,"Cotton No 4, 40C",New Zealand,,12841,Approved,91.0,75.0,Drum,0.72,,,,,Available,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png
AS/NZS 2040.2:2005,FISHER & PAYKEL,5.5,55,464,,49.0,False,Dual,New Zealand,True,,Non Drum,,24.0,No,Top,Agitator,MW512,AS/NZS 2040.1:2005/Amdt 3:2010,2.07383,2.0,0.001,1.2,"Regular, High, Warm, Eco","Australia,New Zealand",0.0,26340,Approved,45.0,73.0,Non-Drum,0.67,,,,,Unavailable,http://www.fisherpaykel.co.nz/,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
AS/NZS 2040.2:2005,FISHER & PAYKEL,6.5,62,554,,63.0,False,Dual,New Zealand,True,,Non Drum,,28.0,No,Top,Agitator,GW612,AS/NZS 2040.1:2005/Amdt 3:2010,2.05987,2.0,0.001,1.2,"Regular, Auto, Warm/Cold, Eco","Australia,New Zealand",0.0,26336,Approved,45.0,91.0,Non-Drum,0.65,,,,,Unavailable,http://www.fisherpaykel.co.nz/,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
AS/NZS 2040.2:2005,FISHER & PAYKEL,7.5,60,645,,70.0,False,Dual,New Zealand,True,,Non Drum,,32.0,No,Top,Agitator,GW712,AS/NZS 2040.1:2005/Amdt 3:2010,2.05028,2.0,0.001,1.2,"Regular, Auto, Warm/Cold, Eco","Australia,New Zealand",0.0,30871,Approved,47.0,103.0,Non-Drum,0.64,,,,,Unavailable,http://www.fisherpaykel.co.nz/,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
AS/NZS 2040.2:2005,FISHER & PAYKEL,8,65,321,,67.02,False,Dual,New Zealand,True,,Drum,,14.66,No,Top,Agitator,WL80T65CW1,AS/NZS 2040.1:2005/Amdt 3:2010,3.83,3.5,0.001,1.4,"Regular, High efficiency, Warm/Cold.","Australia,New Zealand",0.0,30348,Approved,55.0,81.69,Non-Drum,0.63,,,,,Unavailable,http://www.fisherpaykel.co.nz/,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png
AS/NZS 2040.2:2005,FISHER & PAYKEL,5.5,46,474,,49.0,False,Dual,New Zealand,True,,Non Drum,,25.0,No,Top,Agitator,IW512,AS/NZS 2040.1:2005/Amdt 3:2010,2.04315,2.0,0.001,1.2,"Default,Cold/Warm, Eco(Save Water++)",New Zealand,0.0,26686,Approved,42.0,74.0,Non-Drum,0.64,,,,,Unavailable,http://www.fisherpaykel.co.nz/,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
AS/NZS 2040.2:2005,FISHER & PAYKEL,7,68,284,,79.0,False,Dual,New Zealand,True,,Non Drum,,12.0,No,Top,Agitator,IW712,AS/NZS 2040.1:2005/Amdt 3:2010,3.77428,3.5,0.001,1.3,"Default, Cold/Warm, Eco (Save Water++)","Australia,New Zealand",0.0,26344,Approved,47.0,92.0,Non-Drum,0.65,,,,,Unavailable,http://www.fisherpaykel.co.nz/,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png
AS/NZS 2040.2:2005,FISHER & PAYKEL,5.5,55,474,,50.94,False,Dual,New Zealand,True,,Non Drum,,24.6,No,Top,Agitator,MW512,AS/NZS 2040.1:2005/Amdt 3:2010,2.0385,2.0,0.001,1.2,"Regular, High, Warm, Eco","Australia,New Zealand",0.0,32132,Approved,40.0,75.54,Non-Drum,0.65,,,,,Unavailable,http://www.fisherpaykel.co.nz/,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
AS/NZS 2040.2:2005,ASKO,7,,180,NORMAL 40 DEGREE,60.0,False,Cold,Sweden,True,595.0,Drum,850.0,0.0,Yes on the warm wash program only,Front,Drum,W6884,AS/NZS 2040.1:2005/Amdt 3:2010,5.03,5.0,0.21,0.28,NORMAL 40 DEGREE,New Zealand,0.28,57810,Approved,186.0,60.0,Drum,0.49,595.0,,,,Unavailable,,http://www.asko.org.nz,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png
AS/NZS 2040.2:2005,TUSCANY,7.5,82,662,"Warm Wash, Water Level High, Fuzzy",119.97,False,Dual,"""Korea, Republic of""",True,643.0,Non Drum,956.0,34.31,No,Top,Impeller,TWT75,AS/NZS 2040.1:2005/Amdt 3:2010,1.8047,1.5,0.0,2.0,"Warm Wash, Water Level High, Fuzzy","Australia,New Zealand",2.02,30693,Approved,63.61,154.27,Non-Drum,0.828,598.0,,,,Unavailable,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png
