ApplStandard,Brand,Cap,CEC Cold,CEC_,Cold Prog,Cold Wat Cons,Combination,Conn_Mode,Country,delayStartMode,Depth,DetergentType,Height,Hot Wat Cons,internal_heater,Loading,MachineAction,Model No,N-Standard,New SRI,New Star,postProgenergy,powerConsMode,Prog Name,Sold_in,standbyPowerUsage,Submit_ID,SubmitStatus,Test Prog Time,Tot Wat Cons,Type,WEI,Width,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL,Star Image Large,Star Image Small
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,SIMPSON,8,81,360,Cottons Cold,66.0,False,Cold,Thailand,True,,Drum,,,Yes on the warm wash program only,Front,,SWF10832,AS/NZS 2040.1:2005/Amdt 3:2010,3.56934998278,3.5,0.000107,0.084,Cottons 60degC Eco,"Australia,Fiji,New Zealand",0.084,72548,Approved,162.0,66.0,Drum,0.64,,2018-06-27,,Single product class,Unavailable,,http://www.simpson.com.au,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,HISENSE,9,,400,,,False,Cold,China,True,620.0,Drum,850.0,,Yes on the warm wash program only,Front,,HWFR9012V,AS/NZS 2040.1:2005/Amdt 3:2010,3.64530601094,3.5,0.0,1.46,"Cotton 60 Degrees, 1200 rpm","Australia,Fiji,New Zealand",0.12,72217,Approved,241.71,0.0,Drum,0.61298,595.0,2018-06-19,,Single product class,Unavailable,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,CellSun,10,,973,"water saving, remaining default",,False,Dual,China,False,,Non Drum,,,No,Top,,CSMAD100-AS2803,AS/NZS 2040.1:2005/Amdt 3:2010,1.6268685587,1.5,0.0,2.32,"soiled, water level 8","Australia,Fiji,New Zealand",2.32,73421,Approved,132.89,0.0,Drum,0.76009,,2018-08-16,,Single product class,Unavailable,http://www.littleswan.com/,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,Teco,8,0,586,-,0.0,False,Dual,China,True,625.0,Non Drum,1000.0,0.0,No,Top,Impeller,TWM80TAMMBD,AS/NZS 2040.1:2005/Amdt 3:2010,2.35101820651,2.0,0.0,0.01,"Normal, Water Level 5,Water Temp Warm","Australia,Fiji,New Zealand",0.01,77938,Approved,65.46,0.0,Non-Drum,0.731,601.0,2019-02-18,,Single product class,Available,http://www.teco.com.au/,http://www.teco.com.au/,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,FISHER & PAYKEL,7,64,530,"Regular, Auto, Cold, Eco Rinse",,False,Dual,Thailand,True,,Non Drum,,,No,Top,Agitator,WA7060G1,AS/NZS 2040.1:2005/Amdt 3:2010,2.39266816649,2.0,0.0003,1.1,"Regular, Auto, Warm/Cold, Eco Rinse","Australia,New Zealand",,89369,Approved,53.0,0.0,Non-Drum,0.61,,2020-04-28,,Single product class,Available,http://www.fisherpaykel.co.nz/,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,Euroclean,6,57,245,Standard Cotton+Temp--,56.12,False,Dual,China,True,505.0,Drum,845.0,,Yes on the warm wash program only,Front,,ECGA60FL,AS/NZS 2040.1:2005/Amdt 3:2010,3.79257482163,3.5,0.00019,0.42,Standard Cotton+Temp.40,"Australia,Fiji,New Zealand",,72831,Approved,192.0,56.12,Drum,63.0,590.0,2018-07-17,,Single product class,Unavailable,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,Galanz,7,70,340,symbol of clothes & arrow with selection ‘Temp. -- ºC’ and ‘Spin speed 1000’,63.89,False,Dual,China,True,,Drum,,0.0,Yes on the warm wash program only,Front,,XQG70-A210TE,AS/NZS 2040.1:2005/Amdt 3:2010,3.37658694389,3.0,0.00014,0.42,symbol of clothes & arrow with selection ‘Temp. 40 ºC’ and ‘Spin speed 1000’,"Australia,Fiji,New Zealand",0.06,72660,Approved,185.0,63.89,Drum,0.661,,2018-07-01,,Single product class,Unavailable,http://www.galanz.com.cn/,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,Galanz,7,70,340,symbol of clothes & arrow with selection ‘Temp. -- ºC’ and ‘Spin speed 1000’,63.89,False,Dual,China,True,,Drum,,0.0,Yes on the warm wash program only,Front,,XQG70-A510TE,AS/NZS 2040.1:2005/Amdt 3:2010,3.37658694389,3.0,0.00014,0.42,symbol of clothes & arrow with selection ‘Temp. 40 ºC’ and ‘Spin speed 1000’,"Australia,Fiji,New Zealand",0.06,72660,Approved,185.0,63.89,Drum,0.661,,2018-07-01,,Single product class,Unavailable,http://www.galanz.com.cn/,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,Galanz,7,70,340,symbol of clothes & arrow with selection ‘Temp. -- ºC’ and ‘Spin speed 1000’,63.89,False,Dual,China,True,,Drum,,0.0,Yes on the warm wash program only,Front,,XQG70-A810TE,AS/NZS 2040.1:2005/Amdt 3:2010,3.37658694389,3.0,0.00014,0.42,symbol of clothes & arrow with selection ‘Temp. 40 ºC’ and ‘Spin speed 1000’,"Australia,Fiji,New Zealand",0.06,72660,Approved,185.0,63.89,Drum,0.661,,2018-07-01,,Single product class,Unavailable,http://www.galanz.com.cn/,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,Teco,6.5,,501,,,False,Cold,China,False,448.0,Non Drum,885.0,,No,Twin Tub,Impeller,TWM65TTAMFBE,AS/NZS 2040.1:2005/Amdt 3:2010,2.14448010488,2.0,0.0,0.0,"Normal; Wash:30 Min.,H0 water level, 40 deg C; Spin: 3 min., 2 times; Rinse: 3min., M water level, 20 deg C; Spin: 3 min., 2 times",Australia,,83353,Approved,45.0,0.0,Non-Drum,0.813,761.0,2019-08-13,,Single product class,Available,http://www.teco.com.au/,http://www.teco.com.au/,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,SAMSUNG ELECTRONICS,8.5,200,380,"Cotton, cold, bubble, Intensive wash, 2 rinses, 1400rpm",68.6,True,Cold,China,True,,Drum,,0.4,Yes on the warm wash program only,Front,,WD856UHSAWQ,AS/NZS 2040.1:2005/Amdt 3:2010,3.694701992,3.5,4e-05,0.47,"Cotton, 40degC, bubble, Intensive wash, 2 rinses, 1400rpm","Australia,Fiji,New Zealand",0.48,72351,Approved,290.0,69.0,Drum,0.57625,,2018-05-27,,Single product class,Unavailable,,http://www.samsung.com.au,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,SAMSUNG ELECTRONICS,10,95,570,"Water Saving, Tap Cold, High Spin and Normal Soil Level",92.4,False,Dual,Thailand,True,,Non Drum,,0.4,No,Top,Impeller,WA456DRHDSU,AS/NZS 2040.1:2005/Amdt 3:2010,3.08629087564,3.0,8e-06,0.48,"Water Saving, Warm, High Spin and Normal Soil Level","Australia,Fiji,New Zealand",0.49,72117,Approved,83.0,92.8,Non-Drum,0.61234,,2018-05-17,,Single product class,Unavailable,,http://www.samsung.com.au,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,SAMSUNG ELECTRONICS,10,95,570,"Water Saving, Tap Cold, High Spin and Normal Soil Level",92.4,False,Dual,Thailand,True,,Non Drum,,0.4,No,Top,Impeller,WA455DRHDWR,AS/NZS 2040.1:2005/Amdt 3:2010,3.08629087564,3.0,8e-06,0.48,"Water Saving, Warm, High Spin and Normal Soil Level","Australia,Fiji,New Zealand",0.49,72117,Approved,83.0,92.8,Non-Drum,0.61234,,2018-05-17,,Single product class,Unavailable,,http://www.samsung.com.au,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,EURO,8.5,188,280,"Normal, Cold, spin 1400 rpm",66.02,False,Cold,"""Korea, Republic of""",True,645.0,Drum,850.0,1.0,Yes on the warm wash program only,Front,,E85KFLWH,AS/NZS 2040.1:2005/Amdt 3:2010,4.37228161753,4.0,0.0,0.37,"Normal, 40 deg C, spin 1400 rpm","Australia,Fiji,New Zealand",0.37,71944,Approved,242.84,67.02,Drum,0.56,600.0,2018-06-06,,Single product class,Unavailable,http://www.euroappliances.com.au/,http://www.euroappliances.com.au,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,Teco,8,,662,,,False,Cold,China,False,512.0,Non Drum,944.0,,No,Twin Tub,Impeller,TWM80TTAMFBE,AS/NZS 2040.1:2005/Amdt 3:2010,1.9570411228,1.5,0.0,0.0,"Normal; Wash:30 Min.,H water level, 40 deg C; Spin: 3 min., 2 times; Rinse: 3min., L water level, 20 deg C; Spin: 3 min., 2 times",Australia,,82856,Approved,45.0,0.0,Non-Drum,0.831,870.0,2019-08-06,,Single product class,Available,http://www.teco.com.au/,http://www.teco.com.au/,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,MIELE,7,,242,,,False,Cold,"Germany,Czech Republic",True,,Drum,,,Yes on the warm wash program only,Front,,WDA 210 WPM,AS/NZS 2040.1:2005/Amdt 3:2010,4.27711823099,4.0,8e-05,0.3,Cottons 40(with frame),"Australia,New Zealand",0.3,82866,Approved,194.0,0.0,Drum,0.55,,2019-07-28,,Single product class,Available,http://www.miele.com.au/,http://www.miele.com.au,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,SIMPSON,9.5,113,825,"Regular, Eco, 850rpm",122.4,False,Dual,Thailand,True,,Drum,,0.0,No,Top,Agitator,SWT9511,AS/NZS 2040.1:2005/Amdt 3:2010,2.00804688942,2.0,0.0,5.34,"Regular, Eco, 850rpm","Australia,Fiji,New Zealand",0.24,76879,Approved,101.0,122.4,Non-Drum,0.659,,2018-11-06,,Single product class,Available,,http://www.simpson.com.au,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,Baumatic,7,89,567,program (normal) + water level (max.) + water temperature (cold),90.16,False,Dual,China,True,565.0,Non Drum,960.0,0.0,No,Top,Impeller,BWM7001,AS/NZS 2040.1:2005/Amdt 3:2010,1.97152947966,1.5,0.0,0.29,program (normal) + water level (max.) + water temperature (warm),"Australia,Fiji,New Zealand,Other",0.29,70166,Approved,86.0,90.16,Non-Drum,0.868,560.0,2018-01-23,,Single product class,Unavailable,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,TSUBA TECHNOLOGY,7,,527,"water saving, remaining default",,False,Dual,China,True,581.0,Non Drum,960.0,,No,Top,,TXQB70-670,AS/NZS 2040.1:2005/Amdt 3:2010,2.17901957966,2.0,0.0,0.029,"water saving, remaining default (Water Level: Extra High; Water Temp: Warm )","Australia,Fiji,New Zealand",0.029,69655,Approved,72.0,0.0,Drum,0.59,560.0,2018-01-29,,Single product class,Unavailable,http://www.littleswan.com/,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,BENCO,8,,586,,,False,Dual,China,True,625.0,Non Drum,1000.0,,No,Top,Impeller,BAW80AUA,AS/NZS 2040.1:2005/Amdt 3:2010,2.35097764561,2.0,0.0,0.01,"Normal, Water Level 5, Water Temperature Warm",Australia,0.01,85546,Approved,65.5,0.0,Non-Drum,0.73,601.0,2019-11-10,,Single product class,Available,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,BMC,6,,427,,,False,Cold,China,False,,Drum,,,Yes on the warm wash program only,Front,,BWM601F,AS/NZS 2040.1:2005/Amdt 3:2010,2.55800126699,2.5,0.0,2.03,Standard Cotton 60C  1000 RPM,"Australia,New Zealand",0.45,69512,Approved,214.0,0.0,Drum,0.6,,2018-04-23,,Single product class,Unavailable,,http://NA,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,STIRLING,7,,527,"Water Saving, Remaining Default(Water Level: Extra High, Water Temp: Warm",,False,Dual,China,False,550.0,Non Drum,950.0,,No,Top,,STLW70,AS/NZS 2040.1:2005/Amdt 3:2010,2.44431609405,2.0,0.232,0.029,"Water Saving, Remaining Default(Water Level: Extra High, Water Temp: Warm",Australia,0.029,69238,Approved,72.62,0.0,Non-Drum,0.59,550.0,2017-11-28,,Single product class,Unavailable,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,LG,7.5,,300,,,False,Cold,"""Korea, Republic of""",True,590.0,Drum,850.0,,Yes on the warm wash program only,Front,,WD14023D6,AS/NZS 2040.1:2005/Amdt 3:2010,4.0485813093,4.0,0.00021,0.34,"Cotton Eco, 40C, Normal Rinse, Intensive, 1400RPM","Australia,New Zealand",0.31,69343,Approved,270.0,0.0,Drum,0.51545,600.0,2017-11-27,,Single product class,Unavailable,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,MEC,7,,527,,,False,Dual,China,False,585.0,Non Drum,960.0,,No,Top,Impeller,WM07E,AS/NZS 2040.1:2005/Amdt 3:2010,2.44447028792,2.0,0.0,0.029,"Water Saving, Remaining Default (Water Level : Extra High, Water Temp : Warm)","Australia,New Zealand",0.029,69045,Approved,72.6,0.0,Non-Drum,0.586,560.0,2017-11-27,,Single product class,Unavailable,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,ZEROWATT,5,75,459,,95.9,False,Dual,China,False,550.0,Non Drum,860.0,22.6,No,Top,Impeller,XQB50-808GF,AS/NZS 2040.1:2005/Amdt 3:2010,1.76024513318,1.5,0.0,1.5,Normal soak wash program,Australia,1.0,51727,Approved,74.0,118.5,Non-Drum,0.7732,545.0,2015-09-16,,Single product class,Unavailable,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,LG,7.5,,300,,,False,Cold,"""Korea, Republic of""",True,590.0,Drum,850.0,,Yes on the warm wash program only,Front,,WD14032D6,AS/NZS 2040.1:2005/Amdt 3:2010,4.0485813093,4.0,0.00021,0.34,"Cotton Eco, 40C, Normal Rinse, Intensive, 1400RPM","Australia,New Zealand",0.31,68559,Approved,270.0,0.0,Drum,0.51545,600.0,2017-09-27,,Single product class,Unavailable,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,SIMPSON,10,101,462,"Regular, Cold Temp, Spin 850rpm, No Soak, Eco Rinse",101.0,False,Dual,Thailand,True,,Drum,,0.0,No,Top,Low Frofile Agitator,SWT1012A,AS/NZS 2040.1:2005/Amdt 3:2010,3.5290176157,3.5,0.0,5.352,"Regular, Warm Temp, Spin 850rpm, No Soak, Eco Rinse","Australia,Fiji,New Zealand",0.184,88422,Approved,115.6,101.0,Non-Drum,0.633,,2020-03-17,,Single product class,Available,,http://www.simpson.com.au,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,DAEWOO,2,11,253,Cold,28.62,False,Cold,"""Korea, Republic of""",False,292.0,Drum,600.0,0.0,Yes on the warm wash program only,Front,Drum,D-CV701PCMCX,AS/NZS 2040.1:2005/Amdt 3:2010,0.98526199479,1.0,0.0,0.48,"Intensive, 60 deg C, 700 rpm","Australia,Fiji,New Zealand",0.48,79052,Approved,339.0,28.62,Drum,0.71,550.0,2019-03-04,,Single product class,Available,,http://Daewoo Electronics Corp.,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.png
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,DAEWOO,2,11,253,Cold,28.62,False,Cold,"""Korea, Republic of""",False,292.0,Drum,600.0,0.0,Yes on the warm wash program only,Front,Drum,D-CV701PWMCX,AS/NZS 2040.1:2005/Amdt 3:2010,0.98526199479,1.0,0.0,0.48,"Intensive, 60 deg C, 700 rpm","Australia,Fiji,New Zealand",0.48,79052,Approved,339.0,28.62,Drum,0.71,550.0,2019-03-04,,Single product class,Available,,http://Daewoo Electronics Corp.,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.png
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,DAEWOO,2,11,253,Cold,28.62,False,Cold,"""Korea, Republic of""",False,292.0,Drum,600.0,0.0,Yes on the warm wash program only,Front,Drum,D-CV701AWMCX,AS/NZS 2040.1:2005/Amdt 3:2010,0.98526199479,1.0,0.0,0.48,"Intensive, 60 deg C, 700 rpm","Australia,Fiji,New Zealand",0.48,79052,Approved,339.0,28.62,Drum,0.71,550.0,2019-03-04,,Single product class,Available,,http://Daewoo Electronics Corp.,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.png
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,DAEWOO,2,11,253,Cold,28.62,False,Cold,"""Korea, Republic of""",False,292.0,Drum,600.0,0.0,Yes on the warm wash program only,Front,Drum,D-CV701ACMCX,AS/NZS 2040.1:2005/Amdt 3:2010,0.98526199479,1.0,0.0,0.48,"Intensive, 60 deg C, 700 rpm","Australia,Fiji,New Zealand",0.48,79052,Approved,339.0,28.62,Drum,0.71,550.0,2019-03-04,,Single product class,Available,,http://Daewoo Electronics Corp.,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.png
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,DAEWOO,2,11,253,Cold,28.62,False,Cold,"""Korea, Republic of""",False,292.0,Drum,600.0,0.0,Yes on the warm wash program only,Front,Drum,XQG30-881D,AS/NZS 2040.1:2005/Amdt 3:2010,0.98526199479,1.0,0.0,0.48,"Intensive, 60 deg C, 700 rpm","Australia,Fiji,New Zealand",0.48,79052,Approved,339.0,28.62,Drum,0.71,550.0,2019-03-04,,Single product class,Available,,http://Daewoo Electronics Corp.,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.png
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,DAEWOO,2,11,253,Cold,28.62,False,Cold,"""Korea, Republic of""",False,292.0,Drum,600.0,0.0,Yes on the warm wash program only,Front,Drum,DWD-M301WP,AS/NZS 2040.1:2005/Amdt 3:2010,0.98526199479,1.0,0.0,0.48,"Intensive, 60 deg C, 700 rpm","Australia,Fiji,New Zealand",0.48,79052,Approved,339.0,28.62,Drum,0.71,550.0,2019-03-04,,Single product class,Available,,http://Daewoo Electronics Corp.,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.png
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,SAMSUNG ELECTRONICS,7.5,163,359,"Cotton, 40°C, 2 Rinses, 1200rpm, Intensive, Bubble wash",62.3,False,Cold,China,True,,Drum,,0.0,Yes on the warm wash program only,Front,,WF756UMSAWQ,AS/NZS 2040.1:2005/Amdt 3:2010,3.58674597635,3.5,3e-05,2.08,"CCotton, 40°C, 2 Rinses, 1200rpm, Intensive, Bubble wash","Australia,Fiji,New Zealand",2.14,65735,Approved,280.0,62.3,Drum,0.54848,,2017-05-29,,Single product class,Unavailable,,http://www.samsung.com.au,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,FISHER & PAYKEL,5.5,59,487,,54.25,False,Dual,Thailand,True,,Non Drum,,23.67,No,Top,Agitator,WA55T56GW*,AS/NZS 2040.1:2005/Amdt 3:2010,2.00334316007,2.0,0.0006,1.2,"Regular, Auto, Warm/Cold, Eco","Australia,Fiji,New Zealand",0.0,84637,Approved,49.0,77.92,Non-Drum,0.61,,2019-10-02,,Single product class,Available,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,MIELE,10,,395,,,False,Cold,Germany,True,,Drum,,,Yes on both the warm and cold wash programs,Front,,PW 6088,AS/NZS 2040.1:2005/Amdt 3:2010,4.04773924289,4.0,0.0011357,0.25141,Cottons Uni 40°C,"Australia,New Zealand",0.25141,71132,Approved,214.6668,0.0,Drum,0.53,,2018-05-02,,Single product class,Available,http://www.miele.com.au/,http://www.miele.com.au,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,LG,7.5,,300,,,False,Dual,"""Korea, Republic of""",True,550.0,Drum,850.0,,Yes on the warm wash program only,Front,Drum,WD13022D6,AS/NZS 2040.1:2005/Amdt 3:2010,4.04740097971,4.0,2.15e-05,0.04,"Cotton, Intensive, 40 C, 1300 rpm","Australia,New Zealand",0.04,67134,Approved,263.0,0.0,Drum,0.51609,600.0,2017-08-16,,Single product class,Unavailable,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,Haier,8.5,,390,,,False,Cold,China,True,,Drum,,,Yes on both the warm and cold wash programs,Front,,HWM85-1482,AS/NZS 2040.1:2005/Amdt 3:2010,3.6201554955,3.5,4e-05,0.38,"Cotton, 40 degree C, 1400rpm spin, Intense","Australia,Fiji,New Zealand",0.38,76687,Approved,235.06,0.0,Drum,0.58653,,2018-11-17,,Single product class,Unavailable,http://www.haier.cn/,http://www.haier.com.au/,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,GALANZ,7,71,318,Cotton 0; 1200 rpm ,54.5,True,Dual,China,True,,Drum,,5.0,Yes on the warm wash program only,Front,Drum,XQG70-DA112PE,AS/NZS 2040.1:2005/Amdt 3:2010,3.5180224904,3.5,0.0,1.12,Cotton 60; 1200 rpm,"Australia,New Zealand",0.94,52270,Approved,228.1,59.5,Drum,0.663,,2016-01-24,,Single product class,Unavailable,,http://www.galanz.com/,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png
