Submit_ID,Brand_Reg,Model_No,SoldIn,Country,screensize,Screen_Area,Screen_Tech,Pasv_stnd_power,Act_stnd_power,Act_stnd_time,Avg_mode_power,Star,SRI,CEC,SubmitStatus,ExpDate,GrandDate,Product Class,Availability Status,Star2,Product Website,Representative Brand URL,Star Image Large,Star Image Small
68290,Blaupunkt,BP2914HD,Australia,China,72.711,2257.04,LCD (LED),0.32,0.0,0.0,38.0,7.0,7.01486819916,141.0,Approved,2017-12-03,,Single product class,Unavailable,4.01343612596,http://www.bushaustralia.com.au/,http://www.blaupunkt-australia.com.au/,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_7_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-7.png
64492,SANYO,LCD-50XR12F,Australia,China,125.727,6754.5112,LCD,0.51,14.77,0.166,186.0,4.0,4.08803319086,683.0,Approved,2017-09-03,,Single product class,Unavailable,1.08630745475,http://www.xoceco.com.cn/eweb/index.asp,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
64291,SANYO,LCD-32XR12F,Australia,China,80.131,2743.6644,LCD,0.56,14.61,0.166,82.1,4.0,4.25466993926,304.0,Approved,2017-04-04,,Single product class,Unavailable,1.25316908608,http://www.xoceco.com.cn/eweb/index.asp,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
64290,SANYO,LCD-24XR12F,Australia,China,59.809,1528.497216,LCD,0.6,12.44,0.166,45.6,4.5,4.88276549132,171.0,Approved,2017-04-04,,Single product class,Unavailable,1.88149253671,http://www.xoceco.com.cn/eweb/index.asp,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png
64269,SANYO,LCD-39XZ12F,New Zealand,China,97.979,4101.874101,LCD,0.5,13.49,0.166,116.6,4.0,4.20107629958,429.0,Approved,2017-04-04,,Single product class,Unavailable,1.19945722653,http://www.xoceco.com.cn/eweb/index.asp,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
61664,SANYO,LCD-22XR11F,Australia,China,54.687,1277.919504,LCD,0.68,0.166,13.5,39.1,5.0,5.02594257227,147.0,Approved,2016-10-24,,Single product class,Unavailable,3.02594257227,http://www.sanyo.com.au/,http://www.sanyo.com.au,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png
60939,SANYO,LCD-46XR11F(B),Australia,China,116.809,5830.238736,LCD,0.59,0.166,21.3,152.6,4.0,4.36864686969,562.0,Approved,2016-10-19,,Single product class,Unavailable,2.36864686969,http://www.sanyo.com.au/,http://www.sanyo.com.au,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
52364,SAMSUNG ELECTRONICS,LA60C650L1F,"Australia,Fiji,New Zealand",Malaysia,152.4,9914.3,LCD,0.14,0.0,0.0,268.0,4.0,4.058,979.0,Approved,2015-07-29,,Single product class,Unavailable,2.49628984997,,http://www.samsung.com.au,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
52363,SAMSUNG ELECTRONICS,LA52C530F1F,"Australia,Fiji,New Zealand",Malaysia,132.8,7555.2,LCD,0.35,0.0,0.0,195.0,4.0,4.346,714.0,Approved,2015-07-29,,Single product class,Unavailable,2.78434340812,,http://www.samsung.com.au,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
52362,SAMSUNG ELECTRONICS,UA60C6900VF,"Australia,Fiji,New Zealand",Malaysia,152.4,9914.3,LCD (LED),0.06,0.0,0.0,147.0,6.0,6.749,537.0,Approved,2015-07-29,,Single product class,Unavailable,5.18753297344,,http://www.samsung.com.au,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-6.png
55996,Panasonic,TH-L32C30A,Australia,Malaysia,80.0,2743.1,LCD,0.24,0.15,10.44,68.21,5.0,5.112,251.0,Approved,2016-03-08,,Single product class,Unavailable,3.55012880345,,http://N/A,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png
54010,Panasonic,TH-P42GT20A,Australia,Japan,106.0,4770.8,Plasma,0.4,0.3,17.0,138.0,4.0,4.028,508.0,Approved,2015-11-22,,Single product class,Unavailable,2.46595798348,,http://N/A,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
