ApplStandard,MEPSComp,N-Standard,Model Name,Model_No,avg_pwr_standby_mode,Brand,C-Dehumid_Rated,Configuration1,Configuration2,Configuration2-unitmount,Configuration3_Sink,Configuration3_Source,Country,C-Power_Inp_Rated,C-Sens_Cool_Rated,C-Total Cool Rated,Depth,H2_COP,H2_HeatPwrCapacity,H2_HeatPwrInput,Height,H-Power_Inp_Rated,H-Total Heat Rated,indoorType,EERtestAvg,COPtestAvg,Invert,Setting_cool,Setting_heat,Pnoc,Pnoh,VSCP_EER50,VSCP_COP50,eermepslev,TestedOutputEER,TestedOutputCOP,AnnualOutputEER,AnnualOutputCOP,PL_EERMEPS,PL_COPMEPS,sri2010_cool,sri2010_heat,Star2010_Cool,Star2010_Heat,outdoortype,Phase,Refrigerant,Sold_in,Submit_ID,ExpDate,GrandDate,SubmitStatus,Type,Width,Product Class,Demand Response 1,Demand Response 2,Demand Response 4,Demand Response 5,Demand Response 6,Demand Response 7,PartNumber,EER,Availability Status,star2000_cool,star2000_heat,Product Website,Representative Brand URL,Star Image Large,Star Image Small
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,,FTXM50P / RXM50P,,DAIKIN,1.01,Non Ducted,Single Split System,Wall Hung,Air,Air,Thailand,1.18,3.99,5,259,0,,,340,1.42,6,Calorimeter Room,4.3574,4.4541,TRUE,100,,1.5,1.5,0,0,,,,4.338725669,4.437773282,,,4.1775,4.3755,4,4,Calorimeter Room,Single,R32,"Australia,Fiji,New Zealand",82825,13/08/2019,,Approved,Reverse Cycle,1050,Class 10,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,4.3574,Available,,,http://www.daikin.com.au/,http://www.daikin.com.au,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,,FTKM50P / RKM50P,,DAIKIN,1.01,Non Ducted,Single Split System,Wall Hung,Air,,"Thailand,Thailand",1.18,3.99,5,215,0,,,295,,,Calorimeter Room,4.3574,0,TRUE,,,1.5,,0,0,,,,4.338725669,0,,,4.1775,0,4,0,Calorimeter Room,Single,R32,"Australia,New Zealand",82838,13/08/2019,,Approved,Cooling Only,800,Class 10,FALSE,,TRUE,FALSE,FALSE,FALSE,BRP070A41,4.3574,Available,,,http://www.daikin.com.au/,http://www.daikin.com.au,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,,STR-23RSJAIF,,STIRLING,0.04,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.52,2.26,2.3,,0,,,,0.59,2.6,Calorimeter Room,4.3602,4.4167,TRUE,,,3.6,3.6,0,0,,,,4.263289789,4.327896151,,,4.0266,4.1558,4,4,Calorimeter Room,Single,R410A,"Australia,New Zealand",83411,18/08/2019,,Approved,Reverse Cycle,,Class 10,FALSE,,FALSE,,,,,4.3602,Available,,,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.3:2002,,SRF25ZMXA-S / SRC25ZMXA-S,,"MITSUBISHI HEAVY INDUSTRIES, LTD.",0.3,Non Ducted,Single Split System,Floor Mounted,Air,Air,Thailand,0.52,2.2,2.5,,0,,,,0.72,3.4,Calorimeter Room,4.454,4.4861,TRUE,,,3,3,0,0,,,,4.372541235,4.426640876,,,4.2451,4.3533,4,4,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",80801,15/05/2019,,Approved,Reverse Cycle,,Class 10,TRUE,TRUE,,TRUE,TRUE,TRUE,,4.454,Available,,,http://www.mhiaa.com.au/,http://www.mhiaa.com.au/,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,,CS-25V3A-PD/CS-25V3A-H5D,,CHIGO,0.12,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.58,2.38,2.5,,0,,,,0.58,2.5,Calorimeter Room,4.3379,4.3711,TRUE,,,0.017,0.017,0,0,,,,4.337479877,4.370642618,,,4.175,4.2413,4,4,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",87621,10/03/2020,,Approved,Reverse Cycle,,,FALSE,,FALSE,,,,,4.3379,Unavailable,,,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,Each individual model number listed above,TAC-09CHSA/AKI5,,TCL,0.038,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.52,2.262,2.3,,0,,,,0.59,2.6,Calorimeter Room,4.3626,4.4165,TRUE,,,3.6,3.6,0,0,,,,4.265600328,4.327723872,,,4.0312,4.1554,4,4,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",84766,13/10/2019,,Approved,Reverse Cycle,,Class 10,FALSE,,FALSE,,,,,4.3626,Unavailable,,,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,Each individual model number listed above,TAC-09CHSA/KaI5,,TCL,0.038,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.52,2.262,2.3,,0,,,,0.59,2.6,Calorimeter Room,4.3626,4.4165,TRUE,,,3.6,3.6,0,0,,,,4.265600328,4.327723872,,,4.0312,4.1554,4,4,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",84766,13/10/2019,,Approved,Reverse Cycle,,Class 10,FALSE,,FALSE,,,,,4.3626,Unavailable,,,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,Each individual model number listed above,TAC-09CHSA/CII5,,TCL,0.038,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.52,2.262,2.3,,0,,,,0.59,2.6,Calorimeter Room,4.3626,4.4165,TRUE,,,3.6,3.6,0,0,,,,4.265600328,4.327723872,,,4.0312,4.1554,4,4,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",84766,13/10/2019,,Approved,Reverse Cycle,,Class 10,FALSE,,FALSE,,,,,4.3626,Unavailable,,,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,Each individual model number listed above,TAC-09CHSA/CFI5,,TCL,0.038,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.52,2.262,2.3,,0,,,,0.59,2.6,Calorimeter Room,4.3626,4.4165,TRUE,,,3.6,3.6,0,0,,,,4.265600328,4.327723872,,,4.0312,4.1554,4,4,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",84766,13/10/2019,,Approved,Reverse Cycle,,Class 10,FALSE,,FALSE,,,,,4.3626,Unavailable,,,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,Each individual model number listed above,TAC-09CHSA/CEI5,,TCL,0.038,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.52,2.262,2.3,,0,,,,0.59,2.6,Calorimeter Room,4.3626,4.4165,TRUE,,,3.6,3.6,0,0,,,,4.265600328,4.327723872,,,4.0312,4.1554,4,4,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",84766,13/10/2019,,Approved,Reverse Cycle,,Class 10,FALSE,,FALSE,,,,,4.3626,Unavailable,,,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,Each individual model number listed above,TAC-09CHSA/CZI5,,TCL,0.038,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.52,2.262,2.3,,0,,,,0.59,2.6,Calorimeter Room,4.3626,4.4165,TRUE,,,3.6,3.6,0,0,,,,4.265600328,4.327723872,,,4.0312,4.1554,4,4,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",84766,13/10/2019,,Approved,Reverse Cycle,,Class 10,FALSE,,FALSE,,,,,4.3626,Unavailable,,,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,Each individual model number listed above,TAC-09CHSA/CTI5,,TCL,0.038,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.52,2.262,2.3,,0,,,,0.59,2.6,Calorimeter Room,4.3626,4.4165,TRUE,,,3.6,3.6,0,0,,,,4.265600328,4.327723872,,,4.0312,4.1554,4,4,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",84766,13/10/2019,,Approved,Reverse Cycle,,Class 10,FALSE,,FALSE,,,,,4.3626,Unavailable,,,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,Each individual model number listed above,TAC-09CHSA/CRI5,,TCL,0.038,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.52,2.262,2.3,,0,,,,0.59,2.6,Calorimeter Room,4.3626,4.4165,TRUE,,,3.6,3.6,0,0,,,,4.265600328,4.327723872,,,4.0312,4.1554,4,4,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",84766,13/10/2019,,Approved,Reverse Cycle,,Class 10,FALSE,,FALSE,,,,,4.3626,Unavailable,,,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,Each individual model number listed above,TAC-09CHSA/CQI5,,TCL,0.038,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.52,2.262,2.3,,0,,,,0.59,2.6,Calorimeter Room,4.3626,4.4165,TRUE,,,3.6,3.6,0,0,,,,4.265600328,4.327723872,,,4.0312,4.1554,4,4,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",84766,13/10/2019,,Approved,Reverse Cycle,,Class 10,FALSE,,FALSE,,,,,4.3626,Unavailable,,,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,Each individual model number listed above,TAC-09CHSA/CYI5,,TCL,0.038,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.52,2.262,2.3,,0,,,,0.59,2.6,Calorimeter Room,4.3626,4.4165,TRUE,,,3.6,3.6,0,0,,,,4.265600328,4.327723872,,,4.0312,4.1554,4,4,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",84766,13/10/2019,,Approved,Reverse Cycle,,Class 10,FALSE,,FALSE,,,,,4.3626,Unavailable,,,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,Each individual model number listed above,TAC-09CHSA/CPI5,,TCL,0.038,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.52,2.262,2.3,,0,,,,0.59,2.6,Calorimeter Room,4.3626,4.4165,TRUE,,,3.6,3.6,0,0,,,,4.265600328,4.327723872,,,4.0312,4.1554,4,4,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",84766,13/10/2019,,Approved,Reverse Cycle,,Class 10,FALSE,,FALSE,,,,,4.3626,Unavailable,,,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,Each individual model number listed above,TAC-09CHSA/CWI5,,TCL,0.038,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.52,2.262,2.3,,0,,,,0.59,2.6,Calorimeter Room,4.3626,4.4165,TRUE,,,3.6,3.6,0,0,,,,4.265600328,4.327723872,,,4.0312,4.1554,4,4,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",84766,13/10/2019,,Approved,Reverse Cycle,,Class 10,FALSE,,FALSE,,,,,4.3626,Unavailable,,,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,Each individual model number listed above,TAC-09CHSA/CVI5,,TCL,0.038,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.52,2.262,2.3,,0,,,,0.59,2.6,Calorimeter Room,4.3626,4.4165,TRUE,,,3.6,3.6,0,0,,,,4.265600328,4.327723872,,,4.0312,4.1554,4,4,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",84766,13/10/2019,,Approved,Reverse Cycle,,Class 10,FALSE,,FALSE,,,,,4.3626,Unavailable,,,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,Each individual model number listed above,TAC-09CHSA/CUI5,,TCL,0.038,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.52,2.262,2.3,,0,,,,0.59,2.6,Calorimeter Room,4.3626,4.4165,TRUE,,,3.6,3.6,0,0,,,,4.265600328,4.327723872,,,4.0312,4.1554,4,4,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",84766,13/10/2019,,Approved,Reverse Cycle,,Class 10,FALSE,,FALSE,,,,,4.3626,Unavailable,,,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,Each individual model number listed above,TAC-09CHSA/CNI5,,TCL,0.038,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.52,2.262,2.3,,0,,,,0.59,2.6,Calorimeter Room,4.3626,4.4165,TRUE,,,3.6,3.6,0,0,,,,4.265600328,4.327723872,,,4.0312,4.1554,4,4,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",84766,13/10/2019,,Approved,Reverse Cycle,,Class 10,FALSE,,FALSE,,,,,4.3626,Unavailable,,,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,Each individual model number listed above,TAC-09CHSA/CHI5,,TCL,0.038,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.52,2.262,2.3,,0,,,,0.59,2.6,Calorimeter Room,4.3626,4.4165,TRUE,,,3.6,3.6,0,0,,,,4.265600328,4.327723872,,,4.0312,4.1554,4,4,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",84766,13/10/2019,,Approved,Reverse Cycle,,Class 10,FALSE,,FALSE,,,,,4.3626,Unavailable,,,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,Each individual model number listed above,TAC-09CHSA/DFI5,,TCL,0.038,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.52,2.262,2.3,,0,,,,0.59,2.6,Calorimeter Room,4.3626,4.4165,TRUE,,,3.6,3.6,0,0,,,,4.265600328,4.327723872,,,4.0312,4.1554,4,4,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",84766,13/10/2019,,Approved,Reverse Cycle,,Class 10,FALSE,,FALSE,,,,,4.3626,Unavailable,,,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,Each individual model number listed above,TAC-09CHSA/DEI5,,TCL,0.038,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.52,2.262,2.3,,0,,,,0.59,2.6,Calorimeter Room,4.3626,4.4165,TRUE,,,3.6,3.6,0,0,,,,4.265600328,4.327723872,,,4.0312,4.1554,4,4,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",84766,13/10/2019,,Approved,Reverse Cycle,,Class 10,FALSE,,FALSE,,,,,4.3626,Unavailable,,,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,Each individual model number listed above,TAC-09CHSA/DCI5,,TCL,0.038,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.52,2.262,2.3,,0,,,,0.59,2.6,Calorimeter Room,4.3626,4.4165,TRUE,,,3.6,3.6,0,0,,,,4.265600328,4.327723872,,,4.0312,4.1554,4,4,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",84766,13/10/2019,,Approved,Reverse Cycle,,Class 10,FALSE,,FALSE,,,,,4.3626,Unavailable,,,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,Each individual model number listed above,TAC-09CHSA/DBI5,,TCL,0.038,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.52,2.262,2.3,,0,,,,0.59,2.6,Calorimeter Room,4.3626,4.4165,TRUE,,,3.6,3.6,0,0,,,,4.265600328,4.327723872,,,4.0312,4.1554,4,4,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",84766,13/10/2019,,Approved,Reverse Cycle,,Class 10,FALSE,,FALSE,,,,,4.3626,Unavailable,,,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,Each individual model number listed above,TAC-09CHSA/CDI5,,TCL,0.038,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.52,2.262,2.3,,0,,,,0.59,2.6,Calorimeter Room,4.3626,4.4165,TRUE,,,3.6,3.6,0,0,,,,4.265600328,4.327723872,,,4.0312,4.1554,4,4,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",84766,13/10/2019,,Approved,Reverse Cycle,,Class 10,FALSE,,FALSE,,,,,4.3626,Unavailable,,,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,Each individual model number listed above,TAC-09CHSA/CXI5,,TCL,0.038,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.52,2.262,2.3,,0,,,,0.59,2.6,Calorimeter Room,4.3626,4.4165,TRUE,,,3.6,3.6,0,0,,,,4.265600328,4.327723872,,,4.0312,4.1554,4,4,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",84766,13/10/2019,,Approved,Reverse Cycle,,Class 10,FALSE,,FALSE,,,,,4.3626,Unavailable,,,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,Each individual model number listed above,TAC-09CHSA/CAI5,,TCL,0.038,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.52,2.262,2.3,,0,,,,0.59,2.6,Calorimeter Room,4.3626,4.4165,TRUE,,,3.6,3.6,0,0,,,,4.265600328,4.327723872,,,4.0312,4.1554,4,4,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",84766,13/10/2019,,Approved,Reverse Cycle,,Class 10,FALSE,,FALSE,,,,,4.3626,Unavailable,,,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,Each individual model number listed above,TAC-09CHSA/CMI5,,TCL,0.038,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.52,2.262,2.3,,0,,,,0.59,2.6,Calorimeter Room,4.3626,4.4165,TRUE,,,3.6,3.6,0,0,,,,4.265600328,4.327723872,,,4.0312,4.1554,4,4,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",84766,13/10/2019,,Approved,Reverse Cycle,,Class 10,FALSE,,FALSE,,,,,4.3626,Unavailable,,,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,Each individual model number listed above,TAC-09CHSA/CJI5,,TCL,0.038,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.52,2.262,2.3,,0,,,,0.59,2.6,Calorimeter Room,4.3626,4.4165,TRUE,,,3.6,3.6,0,0,,,,4.265600328,4.327723872,,,4.0312,4.1554,4,4,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",84766,13/10/2019,,Approved,Reverse Cycle,,Class 10,FALSE,,FALSE,,,,,4.3626,Unavailable,,,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,Each individual model number listed above,TAC-09CHSA/CLI5,,TCL,0.038,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.52,2.262,2.3,,0,,,,0.59,2.6,Calorimeter Room,4.3626,4.4165,TRUE,,,3.6,3.6,0,0,,,,4.265600328,4.327723872,,,4.0312,4.1554,4,4,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",84766,13/10/2019,,Approved,Reverse Cycle,,Class 10,FALSE,,FALSE,,,,,4.3626,Unavailable,,,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,Each individual model number listed above,TAC-09CHSA/CKI5,,TCL,0.038,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.52,2.262,2.3,,0,,,,0.59,2.6,Calorimeter Room,4.3626,4.4165,TRUE,,,3.6,3.6,0,0,,,,4.265600328,4.327723872,,,4.0312,4.1554,4,4,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",84766,13/10/2019,,Approved,Reverse Cycle,,Class 10,FALSE,,FALSE,,,,,4.3626,Unavailable,,,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
