Submit_ID,Brand_Reg,Model_No,SoldIn,Country,screensize,Screen_Area,Screen_Tech,Pasv_stnd_power,Act_stnd_power,Act_stnd_time,Avg_mode_power,Star,SRI,CEC,SubmitStatus,ExpDate,GrandDate,Product Class,Availability Status,Star2,Product Website,Representative Brand URL,Star Image Large,Star Image Small
56060,CONIA,CL3201HDR,Australia,China,80.01,2736.6,LCD,0.84,0.0,0.0,101.9,3.0,3.281,377.0,Superseded,2016-03-02,2013-10-23,,Unavailable,1.71865251975,,http://www.conia.com.au ,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png
58416,RANKARENA,LC-16G78,Australia,China,39.624,680.7,LCD,0.41,0.0,0.0,29.31,4.5,4.714,110.0,Superseded,2016-07-07,2013-10-23,,Unavailable,3.15123229896,,http://www.target.com.au,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png
58412,RANKARENA,LC-22G62,Australia,China,54.7863,1282.6,LCD,0.46,0.0,0.0,49.21,4.0,4.079,182.0,Superseded,2016-07-07,2013-10-23,,Unavailable,2.5166391687,,http://www.target.com.au,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
57893,SENZU,3200SL-A101,"Australia,Fiji,New Zealand",China,81.28,2736.6,LCD,0.698,0.0,0.0,96.26,3.5,3.55,355.0,Superseded,2016-06-06,2013-10-23,,Unavailable,1.98810865065,,http://www.senzu.com.au/,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png
54732,OHKI,42LED/120HZ SLEEK,Australia,China,106.68,4865.0,LCD,0.53,0.0,0.0,112.3,3.0,3.27,612.0,Superseded,2015-12-12,2013-10-23,,Unavailable,1.70780357678,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png
55973,VOXSON,VLCD32CP,Australia,China,80.0,2744.0,LCD,0.688,0.0,0.0,137.78,1.5,1.963,507.0,Superseded,2016-02-06,2013-10-23,,Unavailable,0.400601663783,,http://www.voxson.com.au,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png
56065,VOXSON,VLCD55CP,Australia,China,137.0,8230.1,LCD,0.5,0.0,0.0,301.6,2.5,2.745,1104.0,Superseded,2016-02-06,2013-10-23,,Unavailable,1.18347388165,,http://www.voxson.com/,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png
56054,CONIA,CL4001FHDR,Australia,China,101.6,4412.1,LCD,0.84,0.0,0.0,183.0,2.0,2.464,673.0,Superseded,2016-03-02,2013-10-23,,Unavailable,0.901563966405,,http://www.conia.com.au ,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
52047,Kogan,KGNPRO16VAA,Australia,China,40.5,672.8,LCD,0.64,0.0,0.0,27.81,4.5,4.897,105.0,Superseded,2015-09-08,2013-10-23,,Unavailable,3.33398419104,,http://www.kogan.com.au,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png
52047,Kogan,KGNPRO16VBA,Australia,China,40.5,672.8,LCD,0.64,0.0,0.0,27.81,4.5,4.897,105.0,Superseded,2015-09-08,2013-10-23,,Unavailable,3.33398419104,,http://www.kogan.com.au,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png
52047,Kogan,KGNPRO16VCA,Australia,China,40.5,672.8,LCD,0.64,0.0,0.0,27.81,4.5,4.897,105.0,Superseded,2015-09-08,2013-10-23,,Unavailable,3.33398419104,,http://www.kogan.com.au,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png
